ndb_patch,ndb_ufes_patch_label,ndb_ufes_patch_label_status,sab_patch_label,sab_patch_label_status,patch_label_agreement_status,current_reconstructed_patch_label,current_metadata_vs_complete_patch_label_status,final_validated_wsi_id,public_wsi_pseudonym,previous_reconstructed_ndb_origin_id,previous_public_ndb_wsi_match,pixel_containment_status,x,y,width,height,linkage_evidence_level,reviewer_status,notes,origin_audit_id,sab_origin_folder,sab_origin_folder_label_normalized,current_origin_label_from_patch_csv,current_origin_label_from_sab_origin_exact_match,ndb_ufes_patch_label_source,sab_patch_label_source,dataset_use_status,patch_vs_origin_plausibility_status,coordinate_status,sab_origin_width,sab_origin_height
p0010,oscc,available,oscc,available,agrees,unknown,current_metadata_missing_patch,sab_only_wsi_0010,sab_only_wsi_0010,,,exact_pixel_match,343,982,512,512,validated_exact_with_metadata_conflict,expert_metadata_review_recommended,"Patch-to-WSI linkage is exact, but label or metadata sources disagree.",origin_audit_0010,benigno,without_dysplasia,,,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,biologically_implausible_or_high_conflict,impossible_or_high_conflict,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0011,oscc,available,oscc,available,agrees,unknown,current_metadata_missing_patch,sab_only_wsi_0010,sab_only_wsi_0010,,,exact_pixel_match,145,393,512,512,validated_exact_with_metadata_conflict,expert_metadata_review_recommended,"Patch-to-WSI linkage is exact, but label or metadata sources disagree.",origin_audit_0010,benigno,without_dysplasia,,,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,biologically_implausible_or_high_conflict,impossible_or_high_conflict,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0012,oscc,available,oscc,available,agrees,unknown,current_metadata_missing_patch,sab_only_wsi_0010,sab_only_wsi_0010,,,exact_pixel_match,737,895,512,512,validated_exact_with_metadata_conflict,expert_metadata_review_recommended,"Patch-to-WSI linkage is exact, but label or metadata sources disagree.",origin_audit_0010,benigno,without_dysplasia,,,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,biologically_implausible_or_high_conflict,impossible_or_high_conflict,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0013,oscc,available,oscc,available,agrees,oscc,agrees,public_ndb_wsi_0013,public_ndb_wsi_0013,10.0,13.0,exact_pixel_match,692,861,512,512,validated_exact_public_wsi,auto_validated_by_pixel_containment,,origin_audit_0011,carcinoma,oscc,oscc,oscc,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_convergent,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0014,oscc,available,oscc,available,agrees,oscc,agrees,public_ndb_wsi_0013,public_ndb_wsi_0013,13.0,13.0,exact_pixel_match,100,93,512,512,validated_exact_public_wsi,auto_validated_by_pixel_containment,,origin_audit_0011,carcinoma,oscc,oscc,oscc,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_convergent,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0015,oscc,available,oscc,available,agrees,oscc,agrees,public_ndb_wsi_0013,public_ndb_wsi_0013,10.0,13.0,exact_pixel_match,552,573,512,512,validated_exact_public_wsi,auto_validated_by_pixel_containment,,origin_audit_0011,carcinoma,oscc,oscc,oscc,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_convergent,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0016,oscc,available,oscc,available,agrees,oscc,agrees,public_ndb_wsi_0013,public_ndb_wsi_0013,10.0,13.0,exact_pixel_match,72,300,512,512,validated_exact_public_wsi,auto_validated_by_pixel_containment,,origin_audit_0011,carcinoma,oscc,oscc,oscc,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_convergent,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0017,oscc,available,oscc,available,agrees,oscc,agrees,public_ndb_wsi_0013,public_ndb_wsi_0013,10.0,13.0,exact_pixel_match,404,622,512,512,validated_exact_public_wsi,auto_validated_by_pixel_containment,,origin_audit_0011,carcinoma,oscc,oscc,oscc,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_convergent,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0018,oscc,available,oscc,available,agrees,oscc,agrees,public_ndb_wsi_0013,public_ndb_wsi_0013,10.0,13.0,exact_pixel_match,338,907,512,512,validated_exact_public_wsi,auto_validated_by_pixel_containment,,origin_audit_0011,carcinoma,oscc,oscc,oscc,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_convergent,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0019,oscc,available,oscc,available,agrees,oscc,agrees,public_ndb_wsi_0013,public_ndb_wsi_0013,10.0,13.0,exact_pixel_match,238,928,512,512,validated_exact_public_wsi,auto_validated_by_pixel_containment,,origin_audit_0011,carcinoma,oscc,oscc,oscc,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_convergent,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0020,oscc,available,oscc,available,agrees,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012,11.0,12.0,exact_pixel_match,240,719,512,512,validated_exact_public_wsi,auto_validated_by_pixel_containment,,origin_audit_0012,carcinoma,oscc,oscc,oscc,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_convergent,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0021,oscc,available,oscc,available,agrees,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012,11.0,12.0,exact_pixel_match,486,974,512,512,validated_exact_public_wsi,auto_validated_by_pixel_containment,,origin_audit_0012,carcinoma,oscc,oscc,oscc,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_convergent,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0022,oscc,available,oscc,available,agrees,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012,11.0,12.0,exact_pixel_match,364,112,512,512,validated_exact_public_wsi,auto_validated_by_pixel_containment,,origin_audit_0012,carcinoma,oscc,oscc,oscc,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_convergent,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0023,oscc,available,oscc,available,agrees,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012,11.0,12.0,exact_pixel_match,1057,511,512,512,validated_exact_public_wsi,auto_validated_by_pixel_containment,,origin_audit_0012,carcinoma,oscc,oscc,oscc,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_convergent,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0024,oscc,available,oscc,available,agrees,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012,11.0,12.0,exact_pixel_match,617,390,512,512,validated_exact_public_wsi,auto_validated_by_pixel_containment,,origin_audit_0012,carcinoma,oscc,oscc,oscc,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_convergent,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0025,oscc,available,oscc,available,agrees,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012,11.0,12.0,exact_pixel_match,1034,212,512,512,validated_exact_public_wsi,auto_validated_by_pixel_containment,,origin_audit_0012,carcinoma,oscc,oscc,oscc,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_convergent,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0026,oscc,available,oscc,available,agrees,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012,11.0,12.0,exact_pixel_match,617,451,512,512,validated_exact_public_wsi,auto_validated_by_pixel_containment,,origin_audit_0012,carcinoma,oscc,oscc,oscc,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_convergent,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0027,oscc,available,oscc,available,agrees,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012,11.0,12.0,exact_pixel_match,1286,976,512,512,validated_exact_public_wsi,auto_validated_by_pixel_containment,,origin_audit_0012,carcinoma,oscc,oscc,oscc,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_convergent,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0028,oscc,available,oscc,available,agrees,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012,11.0,12.0,exact_pixel_match,1040,977,512,512,validated_exact_public_wsi,auto_validated_by_pixel_containment,,origin_audit_0012,carcinoma,oscc,oscc,oscc,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_convergent,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0029,oscc,available,oscc,available,agrees,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012,12.0,12.0,exact_pixel_match,1423,520,512,512,validated_exact_public_wsi,auto_validated_by_pixel_containment,,origin_audit_0012,carcinoma,oscc,oscc,oscc,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_convergent,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0030,oscc,available,oscc,available,agrees,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012,12.0,12.0,exact_pixel_match,1488,820,512,512,validated_exact_public_wsi,auto_validated_by_pixel_containment,,origin_audit_0012,carcinoma,oscc,oscc,oscc,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_convergent,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0031,oscc,available,oscc,available,agrees,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012,11.0,12.0,exact_pixel_match,538,550,512,512,validated_exact_public_wsi,auto_validated_by_pixel_containment,,origin_audit_0012,carcinoma,oscc,oscc,oscc,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_convergent,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0032,oscc,available,oscc,available,agrees,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012,11.0,12.0,exact_pixel_match,670,630,512,512,validated_exact_public_wsi,auto_validated_by_pixel_containment,,origin_audit_0012,carcinoma,oscc,oscc,oscc,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_convergent,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0033,oscc,available,oscc,available,agrees,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012,11.0,12.0,exact_pixel_match,410,216,512,512,validated_exact_public_wsi,auto_validated_by_pixel_containment,,origin_audit_0012,carcinoma,oscc,oscc,oscc,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_convergent,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0034,oscc,available,oscc,available,agrees,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012,11.0,12.0,exact_pixel_match,47,1022,512,512,validated_exact_public_wsi,auto_validated_by_pixel_containment,,origin_audit_0012,carcinoma,oscc,oscc,oscc,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_convergent,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0035,oscc,available,oscc,available,agrees,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012,11.0,12.0,exact_pixel_match,599,361,512,512,validated_exact_public_wsi,auto_validated_by_pixel_containment,,origin_audit_0012,carcinoma,oscc,oscc,oscc,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_convergent,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0036,oscc,available,oscc,available,agrees,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012,12.0,12.0,exact_pixel_match,1483,263,512,512,validated_exact_public_wsi,auto_validated_by_pixel_containment,,origin_audit_0012,carcinoma,oscc,oscc,oscc,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_convergent,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0037,oscc,available,oscc,available,agrees,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012,11.0,12.0,exact_pixel_match,102,922,512,512,validated_exact_public_wsi,auto_validated_by_pixel_containment,,origin_audit_0012,carcinoma,oscc,oscc,oscc,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_convergent,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0038,oscc,available,oscc,available,agrees,unknown,current_metadata_missing_patch,sab_only_wsi_0013,sab_only_wsi_0013,,,exact_pixel_match,48,37,512,512,validated_exact_with_metadata_conflict,expert_metadata_review_recommended,"Patch-to-WSI linkage is exact, but label or metadata sources disagree.",origin_audit_0013,benigno,without_dysplasia,,,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,biologically_implausible_or_high_conflict,impossible_or_high_conflict,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0039,oscc,available,oscc,available,agrees,unknown,current_metadata_missing_patch,sab_only_wsi_0013,sab_only_wsi_0013,,,exact_pixel_match,386,997,512,512,validated_exact_with_metadata_conflict,expert_metadata_review_recommended,"Patch-to-WSI linkage is exact, but label or metadata sources disagree.",origin_audit_0013,benigno,without_dysplasia,,,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,biologically_implausible_or_high_conflict,impossible_or_high_conflict,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0040,oscc,available,oscc,available,agrees,unknown,current_metadata_missing_patch,sab_only_wsi_0013,sab_only_wsi_0013,,,exact_pixel_match,205,535,512,512,validated_exact_with_metadata_conflict,expert_metadata_review_recommended,"Patch-to-WSI linkage is exact, but label or metadata sources disagree.",origin_audit_0013,benigno,without_dysplasia,,,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,biologically_implausible_or_high_conflict,impossible_or_high_conflict,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0041,oscc,available,oscc,available,agrees,unknown,current_metadata_missing_patch,sab_only_wsi_0013,sab_only_wsi_0013,,,exact_pixel_match,12,8,512,512,validated_exact_with_metadata_conflict,expert_metadata_review_recommended,"Patch-to-WSI linkage is exact, but label or metadata sources disagree.",origin_audit_0013,benigno,without_dysplasia,,,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,biologically_implausible_or_high_conflict,impossible_or_high_conflict,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0042,oscc,available,oscc,available,agrees,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012,11.0,12.0,exact_pixel_match,1101,523,512,512,validated_exact_public_wsi,auto_validated_by_pixel_containment,,origin_audit_0014,carcinoma,oscc,oscc,oscc,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_convergent,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0043,oscc,available,oscc,available,agrees,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012,11.0,12.0,exact_pixel_match,549,704,512,512,validated_exact_public_wsi,auto_validated_by_pixel_containment,,origin_audit_0014,carcinoma,oscc,oscc,oscc,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_convergent,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0044,oscc,available,oscc,available,agrees,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012,11.0,12.0,exact_pixel_match,652,200,512,512,validated_exact_public_wsi,auto_validated_by_pixel_containment,,origin_audit_0014,carcinoma,oscc,oscc,oscc,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_convergent,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0045,oscc,available,oscc,available,agrees,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012,11.0,12.0,exact_pixel_match,484,748,512,512,validated_exact_public_wsi,auto_validated_by_pixel_containment,,origin_audit_0014,carcinoma,oscc,oscc,oscc,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_convergent,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0046,oscc,available,oscc,available,agrees,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012,11.0,12.0,exact_pixel_match,684,309,512,512,validated_exact_public_wsi,auto_validated_by_pixel_containment,,origin_audit_0014,carcinoma,oscc,oscc,oscc,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_convergent,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0047,oscc,available,oscc,available,agrees,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012,11.0,12.0,exact_pixel_match,791,786,512,512,validated_exact_public_wsi,auto_validated_by_pixel_containment,,origin_audit_0014,carcinoma,oscc,oscc,oscc,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_convergent,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0048,oscc,available,oscc,available,agrees,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012,12.0,12.0,exact_pixel_match,1218,12,512,512,validated_exact_public_wsi,auto_validated_by_pixel_containment,,origin_audit_0014,carcinoma,oscc,oscc,oscc,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_convergent,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0049,oscc,available,oscc,available,agrees,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012,11.0,12.0,exact_pixel_match,937,741,512,512,validated_exact_public_wsi,auto_validated_by_pixel_containment,,origin_audit_0014,carcinoma,oscc,oscc,oscc,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_convergent,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0050,oscc,available,oscc,available,agrees,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012,11.0,12.0,exact_pixel_match,391,322,512,512,validated_exact_public_wsi,auto_validated_by_pixel_containment,,origin_audit_0014,carcinoma,oscc,oscc,oscc,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_convergent,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0051,oscc,available,oscc,available,agrees,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012,11.0,12.0,exact_pixel_match,83,1015,512,512,validated_exact_public_wsi,auto_validated_by_pixel_containment,,origin_audit_0014,carcinoma,oscc,oscc,oscc,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_convergent,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0052,oscc,available,oscc,available,agrees,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012,11.0,12.0,exact_pixel_match,1103,383,512,512,validated_exact_public_wsi,auto_validated_by_pixel_containment,,origin_audit_0014,carcinoma,oscc,oscc,oscc,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_convergent,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0053,oscc,available,oscc,available,agrees,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012,11.0,12.0,exact_pixel_match,958,881,512,512,validated_exact_public_wsi,auto_validated_by_pixel_containment,,origin_audit_0014,carcinoma,oscc,oscc,oscc,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_convergent,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0054,oscc,available,oscc,available,agrees,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012,11.0,12.0,exact_pixel_match,104,314,512,512,validated_exact_public_wsi,auto_validated_by_pixel_containment,,origin_audit_0014,carcinoma,oscc,oscc,oscc,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_convergent,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0055,oscc,available,oscc,available,agrees,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012,11.0,12.0,exact_pixel_match,43,496,512,512,validated_exact_public_wsi,auto_validated_by_pixel_containment,,origin_audit_0014,carcinoma,oscc,oscc,oscc,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_convergent,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0056,oscc,available,oscc,available,agrees,oscc,agrees,public_ndb_wsi_0012,public_ndb_wsi_0012,11.0,12.0,exact_pixel_match,1232,108,512,512,validated_exact_public_wsi,auto_validated_by_pixel_containment,,origin_audit_0014,carcinoma,oscc,oscc,oscc,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_convergent,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0057,oscc,available,oscc,available,agrees,unknown,current_metadata_missing_patch,sab_only_wsi_0016,sab_only_wsi_0016,,,exact_pixel_match,700,853,512,512,validated_exact_with_metadata_conflict,expert_metadata_review_recommended,"Patch-to-WSI linkage is exact, but label or metadata sources disagree.",origin_audit_0016,benigno,without_dysplasia,,,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,biologically_implausible_or_high_conflict,impossible_or_high_conflict,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0058,oscc,available,oscc,available,agrees,oscc,agrees,public_ndb_wsi_0011,public_ndb_wsi_0011,11.0,11.0,exact_pixel_match,678,896,512,512,validated_exact_public_wsi,auto_validated_by_pixel_containment,,origin_audit_0017,carcinoma,oscc,oscc,oscc,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_convergent,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0059,oscc,available,oscc,available,agrees,oscc,agrees,public_ndb_wsi_0011,public_ndb_wsi_0011,11.0,11.0,exact_pixel_match,1354,878,512,512,validated_exact_public_wsi,auto_validated_by_pixel_containment,,origin_audit_0017,carcinoma,oscc,oscc,oscc,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_convergent,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
